rss,vsz
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
734660,8066812
947560,8461612
1136248,8856148
1288460,8987748
1438348,9185148
1573728,9514148
1743204,9711548
1847308,9777348
1990100,10040284
2111616,10237420
2254480,10565892
2361956,10697492
2468012,10828828
2589988,11026228
2703184,11289164
2813928,11420500
2961100,11617900
3077204,11881100
3187896,11946900
3297588,12341172
3410008,12603844
3491036,12669644
3592580,12998380
3695900,13195516
3783568,13392916
3877412,13458716
3977660,13787716
4081264,13985116
4194724,14050916
4313572,14182516
4418868,14314116
4519780,14708388
4632832,14643692
4746408,14710604
4835004,14776932
4910648,14842468
4979208,14843524
5044656,14844316
5120860,14845572
5206080,14847308
5260916,14849904
5335220,14851564
5431188,14853060
5508544,14854800
5588560,14857156
5726384,14859344
5798388,14797904
5881276,14801860
5989068,14803400
6062472,14737864
6163708,14934472
6274324,15196616
6396880,15271300
6536988,15402372
6688252,15664516
6841108,15733768
6965784,15735968
7037788,15803336
7102112,16002560
7262624,16267184
7362788,16335280
7498960,16272416
7537632,16274620
7580412,16342280
7655168,16475680
7714344,16413440
7702680,16222484
7588924,16429564
7416792,15923028
7358540,15857492
7415540,15923028
7306332,15791956
7295248,15660884
7281608,15614120
7250012,15548584
7282216,15614120
7215076,15614120
7194964,15548584
7217660,15548584
7186288,15548584
7208180,15679656
7202976,15679656
7223300,15745192
7237288,15810728
7252864,15810728
7273720,15810728
7307760,15810728
7305488,15810728
7324164,15745192
7340796,15745192
7360860,15810728
7354876,15745192
7354720,15679656
7375044,15679656
7405932,15745192
7377124,15614120
7391908,15614120
7405636,15614120
7422528,15614120
7441536,15614120
7453152,15679656
7467140,15679656
7488516,15679656
7508048,15679656
7522556,15679656
7553428,15679656
7554156,15679656
7588736,15679656
7608792,15679656
7632800,15679656
7650224,15679656
7667416,15745192
7703212,15810728
7731280,15876264
7736220,15810728
7768544,15876264
7815388,15941800
7857088,16072872
7892464,16072872
7946980,16072872
7996612,16072872
8063132,16138408
8129660,16203944
8202784,16400552
8275640,16531624
8335420,16531624
