rss,vsz
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
954464,7621428
1192012,7747428
1412560,7938948
1587424,8061596
1765304,8203700
1949608,8396756
2108076,8501996
2266048,8652028
2429012,8806420
2608776,8966956
2767348,9119796
2918048,9279044
3075636,9432148
3192872,9510500
3333260,9659012
3478976,9794708
3590952,9864604
3738444,10018236
3882624,10204868
3944772,10261220
4050916,10324476
4178376,10425604
4290196,10563100
4413468,10754076
4524188,10889524
4617128,10964820
4705196,11008604
4787084,11110276
4879428,11200900
4982256,11301532
5076152,11381932
5238676,11497676
5347424,11634892
5461180,11783140
5554124,11814916
5650348,11854884
5708808,11926828
5798416,11968580
5933820,12089180
6092140,12261740
6142312,12364404
6182868,12411508
6243640,12483188
6317384,12722804
6371336,12796532
6425916,12842612
6487380,12904052
6553236,12988020
6629456,13069940
6710180,13160052
6792708,13270644
6938900,13379188
7052640,13489780
7187948,13604468
7328728,13776500
7503600,13921908
7661952,14145140
7792844,14247540
7929612,14390900
8102976,14591604
8230828,14683764
8414508,14941812
8506824,15019636
8583464,15109748
8692064,15232628
8793864,15294068
8794408,15294068
8795108,15294068
8797064,15294068
8801000,15294068
8809632,15294068
8836816,15334004
8849884,15342196
8856208,15374964
8882572,15415924
8905124,15454836
8920408,15454836
8937280,15454836
8943432,15467124
8956840,15467124
8960904,15467124
8971340,15467124
8986996,15491700
8997336,15491700
9001340,15491700
9007928,15491700
9023748,15506036
9049864,15506036
9083368,15628916
9120328,15678068
9139440,15719028
9168048,15719028
9194828,15751796
9223960,15751796
9253816,15852148
9286316,15852148
9327264,15917684
9365824,15946356
9395476,15970932
9423408,16024180
9462308,16047732
9516500,16055924
9534076,16055924
9569640,16121460
9617680,16174708
9650932,16174708
9683700,16174708
9710064,16184948
9736060,16209524
9782120,16299636
9823344,16397940
9516912,16447092
9543492,16447092
9566188,16475764
9600496,16541300
9668800,16643700
9744452,16682612
9836360,16842356
9937912,16948852
10051052,17006196
10142152,17108596
10224564,17141364
10293692,17284724
10384868,17337972
10490800,17387124
10625932,17612404
10773556,17645172
10941964,17780340
10992084,17862260
11056476,17919604
11089572,17968756
11098720,17968756
11100964,17968756
11115428,17997428
11141924,17997428
11152104,18038388
11166376,18038388
11170704,18038388
11174736,18038388
11186900,18038388
11199188,18038388
11201112,18038388
11205176,18038388
11219448,18038388
11221432,18038388
11229560,18071156
11231544,18071156
11237916,18071156
11248060,18071156
11252092,18071156
11268444,18128500
11283712,18161268
11287776,18161268
11297984,18161268
11303972,18161268
11312360,18194036
10977688,18194036
10841728,18243188
10850152,18243188
10866904,18243188
10874568,18243188
10891308,18243188
10905816,18243188
10928048,18329204
10950000,18378356
10971440,18378356
10992192,18407028
11009040,18407028
11033640,18407028
11051896,18407028
11068504,18407028
11084856,18407028
11103288,18476660
11119720,18525812
11142848,18525812
11175096,18574964
11194256,18574964
11214400,18599540
11237364,18599540
11281152,18656884
11326528,18656884
11384428,18771572
11453896,18771572
11510684,18771572
11578092,18771572
11605240,18771572
11661744,18857588
11741956,18857588
11831896,18984564
11919468,18984564
11988876,19082868
12111732,19148404
12235292,19271284
12278860,19312244
12341552,19410548
12380684,19467892
12460616,19566196
12507912,19566196
12514512,19566196
12514452,19566196
12528696,19566196
12539280,19623540
12153060,19623540
12183908,19623540
12190056,19623540
12193832,19623540
12194032,19623540
12196552,19623540
12197280,19623540
12197124,19623540
12197384,19623540
12197384,19623540
12199636,19623540
12207772,19623540
12211776,19623540
12221948,19623540
12230140,19623540
12236252,19623540
12238236,19623540
12242236,19623540
12242140,19623540
12244188,19623540
12248188,19623540
12252188,19623540
12257752,19623540
12270824,19623540
12292232,19623540
12309816,19623540
12322368,19623540
12340828,19623540
12363620,19664500
12380632,19730036
12408572,19730036
12443988,19730036
12481272,19877492
12503240,19877492
12549844,19918452
12565368,19947124
12590932,19947124
12624756,20078196
12638616,20078196
12663916,20078196
12695788,20119156
12748124,20199028
12769832,20199028
12795500,20248180
12820472,20280948
12853384,20280948
12914824,20395636
12187172,20395636
12263032,20395636
12357516,20395636
12468240,20493940
12564412,20534900
12656260,20563572
12768448,20604532
12836364,20604532
12925048,20768372
13014752,20907636
13180816,21046900
13262684,21096052
13333720,21096052
13378996,21096052
13389452,21194356
13390972,21194356
13418520,21227124
13419428,21227124
13440104,21227124
13454472,21227124
13454676,21227124
13454552,21227124
13460960,21227124
13469060,21227124
13477764,21227124
13496248,21227124
13502424,21227124
13517296,21227124
13536360,21227124
13559508,21284468
13594924,21284468
13607452,21284468
13608708,21284468
13610208,21284468
13619416,21284468
13635784,21284468
13638356,21284468
13638276,21284468
13638476,21284468
13638412,21284468
13638260,21284468
13638520,21284468
13640660,21284468
13642748,21284468
13643560,21284468
13662600,21284468
11964072,21284468
12013960,21333620
12042320,21366388
12051948,21366388
12073536,21366388
12088776,21366388
12096448,21366388
12107376,21366388
12117424,21366388
12122592,21366388
12127584,21366388
12139212,21366388
12155648,21366388
12167260,21366388
12177324,21366388
12196492,21366388
12235388,21366388
12264580,21366388
12327500,21366388
12386816,21366388
12387020,21366388
12386912,21366388
12387036,21366388
12387768,21366388
12397248,21366388
12407984,21423732
12415304,21423732
12419812,21423732
12423676,21423732
12434444,21423732
12439068,21423732
12450232,21423732
12461576,21423732
12497328,21464692
12536316,21464692
12590936,21464692
12636732,21464692
12649604,21464692
12651140,21464692
12656776,21464692
12674184,21464692
12702604,21505652
12717976,21505652
12718416,21505652
12718816,21505652
12718816,21505652
10683876,21505652
10694832,21505652
10712156,21505652
10723672,21505652
10741892,21505652
10765772,21554804
10817528,21554804
10868940,21554804
10925972,21554804
10974740,21554804
10999456,21554804
11023964,21554804
11040816,21554804
11064504,21554804
11076160,21554804
11080144,21554804
11088656,21554804
11100848,21554804
11117144,21554804
11126672,21554804
11133524,21554804
11151312,21620340
11192652,21620340
11230020,21620340
11255604,21620340
11286608,21677684
11286552,21677684
11287000,21677684
11289940,21677684
11289884,21677684
11302224,21677684
11309072,21677684
11315428,21677684
11324172,21677684
11344628,21677684
11351036,21677684
11362644,21677684
11372820,21677684
11401472,21677684
11425248,21677684
11462684,21710452
11502732,21792372
11561976,21792372
11562044,21792372
11565092,21792372
11570688,21792372
10470424,21792372
10505172,21841524
10540348,21841524
10567604,21841524
10579392,21841524
10593892,21841524
10602780,21841524
10635528,21841524
10639704,21841524
10660396,21841524
10715348,21841524
10770060,21841524
10846856,21841524
10910472,21882484
10941596,21882484
10941808,21882484
10963264,21882484
10967044,21882484
10991564,21882484
10996628,21882484
11001416,21882484
11010576,21882484
